Легковой Lada Kalina (г/н Н 008 ХР);1,01E+13;30.09.2012;30.09.2012;;153 410 120;259 745,76;2;64 936,44;75;2,778;36;lada;11730;01.01.2012;"""11173060241095""";механик;бензин;60;сине-черный;Айсберг
Легковой Lada Priora (г/н Н007 ХР);1,01E+13;01.10.2012;01.10.2012;;153 410 120;399 000,00;2;110 833,42;72,22;2,778;36;lada;217230;01.01.2012;"""2172300224657""";механик;бензин;72;темно-вишневый;Айсберг
Легковой Lada Priora (г/н О300ЕК);1,01E+13;21.12.2012;21.12.2012;;153 410 120;397 300,00;2;238 379,92;40;1,667;60;lada;;01.01.2012;"""2171300099433""";механик;бензин;72;темно-вишневый;Айсберг
"Автобус "" Андаре 1000"" (г/н К 604 СК)";1510016;06.06.2008;06.06.2008;;15_3410280;6 700 000,00;4;2 525 384,56;62,31;0,897;120;andare;1000;01.01.2008;"""""";механик;дизель;228;серый металик;Айсберг
Автобус ИВЕКО 32402 (г/н Н 433 АТ);1510015;31.07.2008;31.07.2008;;15_3410260;2 200 000,00;4;-;100;1,667;60;ивеко;32402;01.01.2008;"""32402080000088""";механик;дизель;107;белый;Айсберг
Автомобиль-фургон (изотермический) АФ-4750Е6-4 (г/н О181СМ);1,01E+13;24.12.2012;24.12.2012;;153 410 260;3 970 000,00;4;2 381 999,92;40;1,667;60;;;;"""""";механик;;;;Айсберг
Автофургон ИСУЗИ  NQR75Р (г/н В 451 ВО);1510014;19.06.2008;19.06.2008;;15_3410341;1 200 000,00;4;85 714,62;92,86;1,19;84;исузу;3784;01.01.2008;"""37840080000086""";механик;дизель;110;белый;Айсберг
Грузовой фургон ЗИЛ 5301ЕО 47631  ( г/н С 878 ЕР);1510012;09.11.2005;09.11.2005;;15_3410190;983 186,60;4;-;100;1,22;84;зил;5301;01.01.2003;"""89476310307888""";механик;дизель;77;белый;Айсберг
Легковой ГАЗ-3102 ( г/н С 414 МА);1510013;29.12.2006;29.12.2006;;15_3410120;349 860,00;4;-;100;0,098;60;газ;3102;01.01.2006;"""9631020071355194""";механик;бензин;101;айсберг;Айсберг
Легковой КIA Мagentis ( г/н В 454 НВ);1510017;16.08.2010;16.08.2010;;15_3410120;819 900,00;4;109 320,00;86,67;1,667;60;kia;ge;01.01.2010;"""41700000161""";механик;бензин;110;белый;Айсберг
