Автомашина ГАЗ 322132;85752050599;26.11.03;26.11.03;Транспортные средства;153410113;300120;Внебюджет;0;1,667;60;ГАЗ-322132;ГАЗ-322132;2003;ХТН32213230339341;;Бензиновый;98,2;Золотисто-желтый
Автомобиль LADA 217010 PRIORA (VIN) XТА 217010А0252300 ;1012502972;14.10.14;25.08.10;Транспортные средства;153410100;339800;Бюджет;58898,76;2,167;60;LADA 217010 PRIORA;LADA 217010 PRIORA;2010;ХТА217010А0252300;;Бензиновый;80,9;Серо-сине-зеленый
Автомашина ЗИЛ 5301 Бычок БЗ;85751050334;30.05.00;30.05.00;Транспортные средства;153410190;442649;Бюджет;0;1,19;84;ЗИЛ-5301 ;ЗИЛ-5301 ;1999;ХТZ5301АОХ0027170;;Дизель;108,8;Белый
Автомашина ГАЗ 3110 Волга;85751050338;01.11.00;01.11.00;Транспортные средства;153410100;184958;Бюджет;0;1,667;60;ГАЗ-3110 ;ГАЗ-3110 ;2000;ХТН311000Y0963048;;Бензиновый;145;Белый
Автомобиль ГАЗ-31105-501;85751050792;13.12.06;13.12.06;Транспортные средства;153410100;255044,37;Бюджет;0;1,667;60;ГАЗ-31105;ГАЗ-31105;2006;Х9631105071365664;;Бензиновый;137;Буран
Автомобиль LADA 210740;85751052492;25.08.08;25.08.08;Транспортные средства;153410121;162000;Бюджет;0;1,667;60;ЛАДА 210740;ЛАДА 210740;2008;ХТА21074082795627;;Бензиновый;72,7;Темно-зеленый
Автомобиль LADA 210740;85751052493;03.09.08;03.09.08;Транспортные средства;153410121;162000;Бюджет;0;1,667;60;ЛАДА 210740;ЛАДА 210740;2008;ХТА210740827995785;;Бензиновый;72,7;Темно-зеленый
Автобус междугородний НЕФАЗ 5299-0000017-32 Cummins 6I8Ве270В;85751052573;01.01.09;01.01.09;Транспортные средства;153410283;3700000;Бюджет;572619,02;1,19;84;НЕФАЗ 5299-17-32;НЕФАЗ 5299-17-32;2008;X1F5299СМ80Е00038;;Дизель;273;Белый
Автобус ПАЗ-4234-05;1012502900;14.12.12;14.12.12;Транспортные средства;153410263;1718000;Бюджет;1227142,88;1,19;84;"ПАЗ-4234-05";"ПАЗ-4234-05";2012;Х1М4234Н0С0001693;;Дизель;165,9;Белый
Камаз-4308 бортовой;1012502901;17.12.12;17.12.12;Транспортные средства;153410263;1850000;Бюджет;1321428,56;1,19;84;КАМАЗ 4308-С3;КАМАЗ 4308-С3;2012;ХТС430803С1264699;;Дизель;237;Желтый
Автомашина ВАЗ-21041-40 VIN Z9Z210410C0116822;1012502902;05.07.13;05.07.13;Транспортные средства;153410170;173000;Бюджет;123983,39;1,667;60;ВАЗ-21041-40;ВАЗ-21041-40;2012;Z9Z210410C0116822;;Бензиновый;74,1;Алмазное серебро
